Sample_ID,class,miR-30a-5p,miR-429,miR-519a-3p,miR-212-3p,miR-542-5p,miR-329-3p,miR-424-3p,miR-216a-3p,miR-128-3p,miR-20b-5p,miR-20a-5p,miR-410-3p,miR-335-3p,miR-339-3p,miR-205-5p,miR-210-3p,miR-92b-3p,miR-216a-5p,miR-216b-5p,miR-124-3p,miR-23c,miR-124-5p,miR-6727-5p,miR-1251-3p,miR-22-3p,miR-216b-3p,miR-4423-5p,miR-4423-3p,miR-222-3p,miR-5010-3p,miR-219a-1-3p,miR-4324,miR-217,miR-320e,miR-6738-5p,miR-92a-3p,miR-200b-3p,miR-141-3p,miR-141-5p,miR-195-3p,miR-34c-5p,miR-1915-3p,miR-375,miR-139-5p,miR-30a-3p,miR-15b-3p,miR-17-3p,miR-17-5p,miR-6516-3p,miR-6516-5p,miR-182-5p,miR-7-2-3p,miR-200c-3p,miR-139-3p,miR-34c-3p,miR-200a-5p,miR-200a-3p,miR-1307-5p,miR-19b-3p,miR-130b-5p,miR-346,miR-138-5p,miR-19b-1-5p,miR-769-5p,miR-19a-3p,miR-34a-5p,miR-34b-3p,miR-34b-5p,miR-135a-5p,miR-132-3p,miR-1237-5p,miR-328-3p,miR-491-5p,miR-676-3p,miR-29a-3p,miR-1180-3p,miR-3182,miR-106b-5p,miR-106b-3p,miR-101-5p,miR-101-3p,miR-873-5p,miR-96-5p,miR-301b,miR-30c-5p,miR-30c-2-3p,miR-887-3p,miR-4705,miR-93-3p,miR-93-5p,miR-30b-5p,miR-4636,miR-31-5p,miR-487a-3p,miR-183-5p,miR-3180-3p,miR-2681-3p,miR-488-5p,miR-25-3p,miR-25-5p
104-7316-195_1,HGAT,8796,11,0,464,257,1878,462,2,10040,6313,9653,1116,6,116,47,270,16212,80,0,16459,129,222,1880,1,35533,0,2,0,31926,21,18,1869,38,1747,110,21675,98,80,4,155,105,194,15,903,485,133,1449,11771,53,434,173,71,74,27,11,1,86,264,32297,1209,218,7258,98,308,7700,5100,154,58,62,4176,4420,1323,292,4,34063,525,21,24602,1361,302,8068,20,152,1139,21277,57,348,55,618,19484,22624,21,1349,448,29,87,18,55,23272,117
104-7316-2146_1,HGAT,18467,1900,21,255,107,2434,149,4,3847,1731,2186,1873,7,180,463,902,48909,51,35,1882,472,33,3449,166,77711,1,136,470,2156,42,3,8630,57,634,160,16733,7991,182,3,87,20589,286,4294,1222,1625,64,397,2838,133,714,3409,57,110,51,1674,108,10859,281,14163,365,289,19,62,913,4106,38433,1388,4700,16532,2016,7132,3558,364,97,71927,2349,76,8263,350,421,11557,3,6393,270,37577,165,297,8,236,4770,23790,10,645,303,2528,117,3,29,12386,35
104-7316-1774_1,HGAT,12308,72,19,941,1438,8971,1360,40,19112,2290,3628,8739,22,220,20,15906,35317,2486,23,56561,47,341,9654,4,106247,0,7,23,182644,113,11,1923,862,2056,281,17954,291,256,1,104,112,1165,34,3517,828,42,958,4546,125,729,10724,43,162,121,9,21,342,424,21330,675,454,12664,106,1435,6294,29019,198,96,88,8421,8216,3293,656,14,137080,427,113,11939,746,353,6584,66,16892,736,35117,56,312,13,299,6892,25555,13,476,3856,6198,173,1,397,13452,59
104-7316-2152_1,HGAT,14853,16,16,450,215,462,287,2,8090,4650,9835,279,6,196,12,773,27176,80,25,5596,410,46,1731,9,31392,0,1,1,23555,23,19,1407,59,344,116,20590,101,340,6,239,90,170,49,1050,1063,212,1327,10528,88,691,583,23,231,15,5,10,109,190,34752,819,199,1479,98,346,9850,8689,93,45,611,3989,3636,2621,46,0,51214,436,1,13933,532,385,8165,37,1077,439,34594,107,269,56,483,13858,22911,26,255,106,242,39,16,92,17054,43
104-7316-2594_1,HGAT,13042,8,22,465,425,266,588,3,17980,9227,20582,217,4,189,8,1105,39969,146,6,8935,222,133,1882,0,33511,0,1,3,5555,32,30,1525,60,1359,59,34441,136,131,3,58,80,161,129,843,866,164,2265,21075,96,619,3312,76,127,38,18,0,143,325,51180,1742,258,24953,213,491,14432,17603,64,49,64,4269,3224,2532,380,14,52267,271,7,21781,815,402,9466,14,5842,722,40293,66,240,98,659,24471,41732,54,61,113,1248,52,30,115,18352,98
104-7316-89_1,HGAT,15839,23,8,135,240,1122,275,2,27210,6408,10942,1079,5,167,11,355,14214,27,5,6561,118,95,5615,5,60461,0,12,33,10641,46,8,891,23,1194,217,19205,141,99,2,140,361,943,10,3913,1511,97,1001,12376,56,426,429,30,89,140,62,5,243,267,30635,443,600,6278,65,449,7353,25379,107,117,74,1835,3991,5057,485,14,68823,419,116,14287,669,473,10070,23,335,267,36073,157,457,182,394,14633,28568,60,331,453,141,72,58,139,14035,40
104-7316-2151_1,HGAT,28098,35,4,268,43,2544,121,5,15934,2514,3608,4355,3,95,5,866,65546,9,5,250,159,9,877,33,26712,3,103,262,1727,25,6,1084,14,1325,45,16752,161,97,3,123,7952,91,684,753,2974,33,420,5058,41,317,30,53,73,16,687,7,223,276,15964,139,594,920,94,445,4043,10867,663,1472,786,2016,2463,6458,266,12,43474,2456,20,10427,472,278,5614,47,28,280,60671,270,770,33,440,9820,25474,3,22,804,3,20,7,167,10660,24
108-7316-3765_1,HGAT,4288,3,7,88,52,742,57,54,15026,1514,3508,479,6,34,6,160,13253,4409,2849,15490,108,59,2263,1,9237,43,0,0,3857,15,3,1372,2412,311,203,9011,31,37,2,27,171,202,16,3573,256,33,369,3111,21,169,46,16,24,116,13,2,53,83,11377,306,95,4458,40,415,2817,738,50,48,325,1250,5709,1230,290,1,23263,225,27,5212,207,195,5049,133,76,100,11225,31,63,11,194,5846,7297,10,64,165,20,106,3,42,7532,38
108-7316-3022_1,HGAT,7038,12,2,267,91,161,104,3,8603,2010,1410,272,11,20,2,4442,3200,393,226,663,699,7,2390,0,10246,1,0,0,27121,22,15,344,162,1083,309,4409,68,58,1,14,168,425,5,86,318,206,222,3239,32,85,234,29,36,4,17,5,73,39,5789,361,63,2474,24,59,2575,2435,103,59,439,1936,4062,797,167,0,23314,182,117,5393,240,98,6736,1,464,497,8989,36,17,42,216,5016,12019,16,56,140,136,150,13,23,7032,23
108-7316-913_1,HGAT,3184,5,1,279,463,300,511,1,3303,2266,9356,282,4,1731,1,552,7542,95,12,10182,54,92,2159,4,11482,0,2,1,6802,12,18,508,56,314,40,16071,79,71,5,29,39,202,10,620,270,23,865,8682,29,635,2365,39,49,36,6,6,115,482,19311,717,113,3686,70,168,4372,2870,25,22,40,2050,4632,367,61,3,10550,139,4,12919,549,53,396,34,2131,701,8400,30,97,1,372,16273,13371,8,132,143,1141,86,0,38,9093,58
108-7316-870_1,HGAT,5294,5,7,601,112,1171,125,1,17467,1307,2589,1122,3,261,4,343,11217,78,2,26127,43,144,1341,2,19488,2,0,0,11991,29,2,521,19,281,81,6236,50,81,1,33,47,167,2,2792,527,21,389,2667,18,242,60,18,56,101,3,0,50,190,8871,160,117,4962,28,463,1717,7308,32,28,20,7624,1932,1881,209,0,25163,129,10,4896,239,126,1487,208,49,106,13820,48,52,27,133,4022,9317,10,584,383,18,53,7,82,3930,11
108-7316-409_1,HGAT,5731,7,3,228,125,2181,138,0,4289,1588,3092,1276,3,24,1,1249,10650,23,3,689,140,3,1138,0,15423,0,4,0,1260,17,2,615,11,705,194,9478,35,54,0,16,32,167,1,189,427,72,343,3319,20,143,147,8,32,6,1,0,46,44,10751,218,146,2056,26,106,3543,1257,116,19,154,1199,3987,1324,156,0,16504,106,27,3980,241,90,4261,1,232,193,11144,47,100,46,103,3103,7626,9,1210,854,68,135,6,24,4582,9
108-7316-1455_1,HGAT,2844,4,2,79,36,10,90,2,1280,3221,824,12,3,280,3,1365,9385,18,3,15,22,1,3212,8,36375,0,3,13,8426,21,6,190,23,226,188,5814,24,109,5,11,56,462,28,308,157,32,96,2911,26,183,252,0,221,9,5,12,11,248,4797,232,2,44,10,71,432,3208,76,28,51,634,6424,325,124,2,9156,226,16,3533,303,24,418,1,172,166,8057,28,94,0,252,5661,4768,2,29,7,144,96,0,2,6446,34
108-7316-466_1,HGAT,5387,7,0,614,208,856,183,1,10913,1335,1069,887,9,17,0,241,8569,610,26,1191,257,25,857,3,6003,0,0,0,4990,15,7,1137,196,857,99,8699,34,8,0,36,40,65,1,106,219,85,375,2092,32,72,114,10,3,11,2,1,33,39,8092,212,246,2839,20,129,2555,3838,96,81,367,4938,861,1651,122,4,19271,163,4,2615,194,81,4971,5,288,271,8873,28,63,79,95,2016,13093,19,11,286,78,34,18,47,1800,5
108-7316-445_1,HGAT,6931,20,3,82,93,194,93,1,5622,1309,1263,142,8,29,4,340,8481,113,20,2171,1233,7,1066,0,20164,0,15,22,3271,21,2,644,34,740,178,8812,92,260,4,23,396,198,20,988,507,71,182,2043,23,41,334,9,168,27,33,0,90,38,4763,167,108,2329,17,198,2751,2805,284,107,1301,762,2044,1638,170,1,21772,168,487,1623,108,90,7906,26,688,178,14299,60,120,15,80,1898,7222,3,119,53,160,29,2,43,2393,15
108-7316-2140_1,HGAT,5874,0,3,37,22,75,51,5,1187,4472,4097,40,2,13,1,1766,7439,499,84,5077,419,69,3751,2,4047,0,0,0,1115,10,10,775,140,823,194,15331,3,23,1,40,73,463,2,837,276,242,754,7711,31,87,310,7,14,20,10,1,2,40,17222,990,12,299,95,109,7190,181,196,6,371,270,10999,604,18,0,11179,102,87,10926,579,216,7231,15,564,350,9458,33,38,43,365,9089,7291,1,58,34,122,477,10,10,15044,84
108-7316-895_1,HGAT,6250,175,0,60,46,1166,61,34,3436,1229,1587,1168,1,44,38,217,9054,2208,1080,2755,391,30,1044,22,22351,12,1,9,3583,6,9,2837,1035,348,62,7805,945,22,0,32,58,102,78,1368,511,48,317,2073,57,226,5254,56,16,70,3,9,1168,48,9794,510,106,436,25,262,3143,3865,72,45,4653,596,1106,883,65,52,11336,250,41,3780,201,116,4826,35,10842,406,12123,88,66,1,107,2076,6596,2,31,294,2793,22,1,17,5067,16
108-7316-1769_1,HGAT,2683,2,0,671,209,1277,140,3,6134,1035,2308,877,4,167,1,4357,12241,283,6,3181,36,43,1119,5,11555,0,1,0,17167,20,8,798,70,519,67,6680,32,26,3,33,54,179,1,131,148,30,439,2506,17,110,1315,11,27,2,6,4,41,192,8054,307,110,5738,49,187,2234,5131,33,30,84,4726,3570,1297,85,0,20963,260,3,5573,347,94,1257,3,1624,261,8521,17,111,38,165,4368,9055,8,30,424,749,96,12,32,4408,18
108-7316-114_1,HGAT,3585,3,0,293,352,614,307,2,6798,1701,5921,269,3,697,1,1615,4654,48,2,3591,31,85,3051,3,11981,5,1,0,4199,13,6,648,40,351,87,9750,23,66,1,34,147,264,22,708,312,38,515,5152,61,857,126,57,45,28,24,3,13,347,16461,877,159,5360,54,132,3556,4781,25,78,5,2501,3911,1288,29,1,17532,116,2,9083,399,175,1423,6,93,331,7512,25,78,74,252,9218,13445,41,571,133,27,122,32,49,9306,39
108-7316-1763_1,HGAT,4492,12,22,195,193,1277,181,2,9202,1791,1884,894,3,14,1,266,8745,32,8,7287,612,63,1494,2,12140,0,0,0,2641,12,5,900,25,982,252,9364,62,16,4,51,38,125,11,1127,184,90,451,3149,55,190,725,18,9,36,3,2,58,40,9264,380,63,7789,35,147,3302,840,187,11,957,1717,3750,987,213,3,15267,203,39,4173,237,124,5795,70,1432,344,8817,26,91,48,161,3388,8192,20,53,485,389,117,10,34,3936,31
108-7316-1746_1,HGAT,224,6,4,61,47,524,1212,3,4303,220,1703,940,20,2034,2,5771,4425,8,0,169,28,4,4606,1,9497,0,0,6,888,18,80,14,22,272,78,42451,38,135,2,33,11,479,5,67,364,220,26541,1179,96,2478,19,104,150,9,33,7,62,619,89539,52,4,8,93,32,33325,197,51,4,0,719,5280,187,11,2,4772,433,2,846,1429,32,1195,33,11,2475,669,172,307,4,7535,856,2899,1,5,660,3,76,51,1,9755,13
112-7316-371_1,HGAT,12537,3,3,312,768,2119,1672,2,13164,1954,18769,1050,4,464,8,15469,58520,45,30,45983,19,180,2013,1,49780,0,3,3,10981,55,29,994,34,237,80,41729,32,72,2,181,168,304,31,2449,673,32,3310,26016,22,2085,395,33,80,95,32,7,152,651,28415,411,340,13514,209,763,1997,13322,23,24,22,2800,1649,7912,381,3,34853,520,3,22430,1881,291,481,64,56,727,26095,72,328,16,1110,35693,23759,8,620,1110,117,78,50,76,23065,63
112-7316-942_1,HGAT,10737,2,5,351,169,2995,492,5,14753,837,6578,2335,14,302,26,25572,48560,87,9,20028,20,46,8840,1,88854,0,3,18,55412,50,11,1687,71,142,188,23861,48,194,5,81,347,1236,22,3632,617,30,1681,9406,9,1273,1176,7,153,93,118,24,96,1142,15093,226,377,5307,60,803,1185,19503,142,45,70,2875,4007,3086,641,3,26415,438,18,14222,1399,194,452,208,204,180,20103,98,478,0,512,14729,7255,3,731,4677,373,122,6,78,20642,41
112-7316-2751_1,HGAT,8467,15,3,532,178,2183,313,6,6484,2550,7400,3027,10,278,94,4834,30814,77,36,14769,13,42,2570,55,66072,1,11,91,4791,42,7,898,45,81,74,24665,198,70,11,88,3879,403,471,875,778,12,1175,10083,18,2147,1930,46,53,40,381,5,502,526,19214,571,232,1325,127,588,1696,26243,170,548,306,3315,1439,2104,221,53,21628,728,26,10982,995,207,388,49,625,1079,17962,126,654,5,389,12090,8175,6,198,1012,1023,53,2,44,15651,48
112-7316-3303_1,HGAT,11814,6,3,741,1300,1444,1017,9,19150,2746,13982,685,9,773,14,34207,32115,258,2,4544,28,48,2113,2,50437,1,1,4,49941,61,35,1247,99,145,97,38117,91,178,10,71,304,311,9,725,956,18,2399,16441,41,3590,80,7,109,31,70,20,300,1248,28314,735,349,10225,142,1109,2150,21840,83,64,20,6259,1899,7470,721,8,66291,1761,7,51871,3606,779,1043,15,17,1119,37413,123,256,76,1932,63883,42127,63,846,516,55,97,218,87,71389,123
112-7316-3769_1,HGAT,14625,0,0,200,2084,181,8407,0,125036,7824,42773,142,4,349,5,2480,51079,18,8,11382,17,178,1779,6,34108,1,4,4,3959,34,16,1045,10,167,55,79719,27,29,1,331,222,249,14,1457,1275,8,5896,56142,19,1815,16878,17,42,53,33,3,80,1064,64342,525,707,9972,663,1374,3359,11712,26,37,17,1789,2300,7929,313,2,19311,617,0,16283,1451,323,406,178,4643,767,31436,153,648,3,937,33527,12623,10,37,135,6883,51,7,387,18157,111
112-7316-24_1,HGAT,9736,5,10,175,1194,622,4455,16,8469,10519,15732,398,19,471,18,1456,12555,36,21,7171,16,88,1932,8,52098,10,10,15,13764,42,14,802,43,100,69,39882,42,154,28,291,328,274,40,1013,681,16,1852,19668,25,2682,752,16,160,31,56,11,87,572,29015,507,401,18255,117,590,1359,19607,45,61,14,1825,3608,5410,139,18,20966,568,7,19539,1717,246,288,38,96,445,24511,93,329,17,744,35437,15814,29,258,519,153,54,65,134,20610,167
112-7316-339_1,HGAT,968,0,0,48,39,89,72,0,697,1910,6524,194,12,28,4,3167,10884,1,0,730,5,32,8067,10,30575,7,1,1,7124,8,2,48,11,134,406,27073,3,12,1,13,19,937,11,120,17,26,514,8611,0,63,271,0,22,20,13,8,6,492,10722,56,16,58,19,53,689,435,16,0,6,320,11875,202,46,3,1540,86,0,4403,555,42,343,14,28,4,1717,4,68,0,158,10054,857,1,30,56,69,181,0,4,14464,37
104-7316-70_1,LGAT,32961,27,3,282,57,2587,113,0,88219,3618,8357,1696,7,241,18,2172,32966,8,6,245287,346,1214,2169,4,53726,0,33,49,4394,68,4,2901,20,2526,194,20756,127,172,1,298,422,248,57,1456,3017,48,1123,7719,36,228,194,50,117,48,75,5,211,370,25053,285,583,6269,106,993,6654,9562,157,160,336,3585,3197,7986,870,14,85540,810,40,9683,486,1373,24166,35,327,178,74170,284,461,198,354,8925,44561,10,2797,517,110,49,74,82,9556,36
108-7316-3575_1,LGAT,9210,3,0,72,28,746,42,0,33598,876,1364,588,3,63,1,435,8851,6,1,91132,255,321,1148,2,18383,3,5,19,1959,12,2,1178,6,1108,119,5387,39,41,2,80,51,93,19,346,749,13,261,1619,21,69,2,10,28,13,7,0,54,55,6374,134,129,2245,18,313,1669,4397,86,66,151,968,2806,1812,244,4,25240,274,34,2671,126,377,11477,10,15,86,21299,79,86,108,100,2030,13880,8,835,168,2,52,26,22,2447,15
108-7316-925_1,LGAT,5808,0,2,66,64,268,56,0,13250,968,1236,244,3,17,1,189,3497,4,4,23401,454,83,916,0,14324,0,4,6,4401,9,1,433,9,700,142,4244,18,15,0,48,24,129,3,311,419,53,202,1742,10,33,34,4,18,10,2,2,18,38,5213,109,139,3385,23,101,1911,3324,52,40,147,532,1363,966,135,1,13846,88,72,1793,88,110,6328,17,44,78,11202,54,44,74,72,1572,8087,8,427,119,11,37,18,21,2079,10
108-7316-1767_1,LGAT,15209,5,0,159,93,134,62,0,19498,1682,2146,132,50,53,2,359,2862,44,1,21,132,3,1510,0,31299,0,1,0,17830,9,3,1663,24,529,93,5418,44,38,0,71,86,149,0,985,1192,30,326,2847,31,116,12,8,20,49,16,3,52,117,9020,249,114,4237,29,106,2135,5201,124,74,7,1311,2495,1461,173,2,58036,84,19,4426,200,117,6057,0,7,57,24636,119,70,168,106,3571,13242,38,325,84,3,58,35,57,5041,18
108-7316-193_1,LGAT,12106,5,99,461,54,1615,79,0,36944,1373,1818,1181,7,29,3,192,7247,7,1,27044,539,125,1365,0,18433,0,1,6,11106,27,0,1160,6,565,103,6622,49,37,1,27,488,153,36,6441,943,40,258,2474,27,72,20,51,13,228,44,0,55,55,7008,94,178,9450,22,641,1861,8512,121,192,160,5029,1274,2529,450,1,27233,346,44,2617,109,171,8531,356,35,104,22499,134,139,46,91,2692,12066,11,1792,404,7,31,9,76,2490,7
108-7316-77_1,LGAT,9441,7,0,23,334,901,143,0,22964,1529,1314,512,4,25,1,133,2340,3,0,941,332,40,2466,0,10029,0,2,6,1122,13,3,1253,4,631,244,4889,32,9,1,78,35,448,5,940,590,42,248,2471,53,122,464,28,7,30,5,1,49,49,8489,355,371,3362,33,159,2246,8419,90,158,124,273,2187,2657,225,8,25728,49,128,3417,186,114,5257,1,942,194,18252,75,110,73,159,2737,15713,38,22,246,275,36,19,88,2498,18
108-7316-2663_1,LGAT,11041,5,0,87,276,486,150,2,17309,1322,1266,326,26,35,5,180,6045,86,47,4459,697,31,921,0,19178,2,8,16,8063,20,0,1336,35,771,100,6411,27,15,1,46,116,129,4,728,748,43,276,2144,19,63,5,4,8,34,11,4,40,61,8032,209,284,5673,38,172,2671,8847,157,157,306,920,1815,2101,155,7,35857,159,126,2793,156,161,9423,1,7,140,19840,86,67,161,123,2328,16023,32,406,184,2,53,38,66,2574,7
108-7316-2669_1,LGAT,7488,3,1,335,237,460,210,1,11699,1435,1413,360,9,12,10,251,2629,1,1,450,416,29,1768,0,13787,0,1,0,11432,11,2,1315,1,502,231,4494,18,8,0,37,94,206,0,455,508,54,224,2136,17,48,25,0,3,16,7,2,30,34,7266,176,210,8266,37,95,2443,4680,168,97,24,2113,1928,1509,172,1,25352,59,96,2335,115,74,4685,0,22,112,12633,58,42,102,113,2054,11719,24,50,205,10,33,26,52,2053,14
108-7316-2723_1,LGAT,6490,9,0,68,33,632,38,0,16840,790,1607,417,7,42,2,369,4229,7,1,42005,199,172,1710,1,17631,0,1,1,1045,20,2,665,9,611,102,3688,57,27,2,35,184,184,17,388,572,14,234,1730,16,49,16,9,22,10,30,1,54,86,5474,117,281,3755,15,235,1536,4117,78,59,115,609,2434,1745,171,5,19515,147,120,2128,113,199,5937,73,28,48,14729,71,145,39,86,2028,8677,7,856,139,14,47,8,30,2116,14
108-7316-2755_1,LGAT,9512,9,0,105,253,527,185,0,20048,1225,1457,437,5,37,4,200,7077,1,0,271,183,19,1743,0,18215,0,1,2,7452,19,2,1434,7,639,148,5539,46,10,2,79,85,231,2,586,800,32,273,2007,22,136,11,8,10,30,14,1,28,95,8192,178,373,6342,41,191,1811,8451,78,77,21,1054,2261,2321,266,5,36683,157,46,2943,162,160,4678,1,15,99,17512,66,65,108,138,2645,15225,26,71,172,6,40,24,77,2275,12
108-7316-954_1,LGAT,8335,3,0,121,157,393,120,11,11980,1537,2995,359,6,35,4,217,9863,2855,1412,5672,242,39,2842,0,24227,19,4,10,5179,11,4,1345,1467,709,380,8306,18,36,1,73,102,334,13,771,590,45,408,3242,40,177,37,3,7,38,19,2,22,88,11828,176,245,5457,42,210,3194,7594,67,64,236,1246,9692,1461,235,6,32365,182,34,4340,154,193,8067,5,47,75,17388,68,53,97,123,3687,14752,30,1283,190,14,278,27,61,4532,17
108-7316-84_1,LGAT,11526,5,5,89,38,1017,34,0,33836,1265,2633,671,4,55,6,700,12180,10,12,101479,227,330,1093,6,21932,2,38,56,1793,23,2,1226,15,1431,207,7934,36,67,3,112,59,128,27,369,916,33,368,2575,19,71,34,21,47,19,13,3,43,82,9259,166,175,2615,32,363,2617,3675,83,36,189,1121,3860,2177,221,5,29827,324,15,3537,145,440,12913,23,36,77,24976,133,130,96,127,2898,15364,4,1330,202,9,130,19,32,3531,18
108-7316-442_1,LGAT,8851,11,0,98,251,409,120,0,15045,1199,1232,537,13,44,10,311,6748,22,0,565,264,34,2037,0,25018,0,6,12,7833,8,6,1636,15,522,122,4139,47,42,1,67,134,215,0,525,807,40,153,1957,29,85,33,6,41,24,19,1,52,77,6401,167,270,6819,17,163,1513,14313,87,116,116,872,1924,1946,278,6,38156,193,108,3977,196,95,3950,0,29,91,18284,87,124,89,127,3308,9919,26,211,220,9,44,21,88,3637,9
108-7316-459_1,LGAT,8036,2,2,41,55,144,45,0,5276,842,1190,146,4,20,1,957,5207,6,3,638,89,6,1268,1,13697,0,0,8,3692,10,2,851,9,404,168,3856,21,12,0,35,83,125,0,330,684,30,154,1612,23,128,27,6,9,13,4,1,27,52,4607,110,194,2499,12,83,1258,9396,69,82,40,362,2393,1143,138,2,22045,138,68,1804,66,123,4344,1,23,37,15211,90,91,44,63,1709,8936,8,601,45,9,81,18,53,1667,5
108-7316-391_1,LGAT,7113,5,2,137,178,328,194,5,9708,1372,2061,274,6,31,3,1340,6577,33,2,810,233,31,1411,0,15397,1,0,2,14406,25,1,1816,23,470,83,7004,22,18,6,28,82,77,2,152,481,38,350,2448,18,85,14,2,12,3,9,5,18,80,9186,257,273,5741,45,113,2681,5740,141,67,77,871,1325,1448,203,2,36758,108,44,2816,97,138,5381,0,15,111,13415,62,44,76,94,2339,13327,21,1111,150,8,36,22,44,2181,10
108-7316-944_1,LGAT,6697,3,1,78,114,264,101,0,9439,1353,1768,224,13,27,4,177,7949,49,0,141,284,3,1494,1,18150,0,5,5,16989,13,1,2143,17,640,98,7700,37,51,4,61,82,135,5,279,459,35,344,2194,30,103,18,12,28,10,14,2,42,61,8963,213,109,1179,21,145,2083,10440,133,141,209,730,3305,1418,170,1,30298,161,69,2989,125,113,5548,1,12,85,13942,49,77,78,74,2289,11220,18,226,113,2,103,22,35,2888,11
108-7316-2154_1,LGAT,10332,17,2,42,56,52,74,0,1880,1453,2308,64,6,41,4,204,4924,57,3,142,158,1,3753,1,15882,0,0,9,7908,13,4,987,34,448,378,5217,82,46,1,52,233,403,3,356,958,32,274,2733,29,75,41,5,25,16,30,0,103,54,9048,99,75,1047,15,91,2322,7968,88,93,40,483,6176,972,81,1,24403,148,25,3225,129,152,6576,2,52,45,18986,127,119,17,111,2780,8446,11,662,30,23,106,0,54,3344,14
108-7316-3065_1,LGAT,5548,3,0,69,271,437,166,0,7296,1163,1641,487,3,24,0,160,6326,42,2,158,162,5,687,0,18956,2,0,0,24480,8,0,891,25,373,37,5462,24,31,1,48,191,68,1,62,388,43,246,1912,14,73,24,5,19,0,29,3,39,68,7107,163,218,3685,20,125,1809,8728,60,111,14,636,1185,1105,187,3,23774,137,21,2524,106,79,3681,0,26,91,11809,48,57,81,79,2043,8254,14,986,227,5,34,28,23,2447,8
108-7316-146_1,LGAT,13948,8,0,140,133,378,134,0,7836,1466,2039,456,2,21,2,500,11068,20,6,206,210,7,746,0,32545,0,10,21,21693,16,0,1374,17,477,64,7380,28,34,0,83,140,96,1,314,1112,51,341,2426,18,108,11,9,24,15,12,4,30,92,9213,175,278,7952,32,128,2335,15369,76,144,14,1054,2488,1449,212,7,46854,195,21,3044,126,248,8506,0,13,95,27032,135,68,73,109,2599,15555,9,1068,155,4,80,19,51,2723,9
108-7316-3055_1,LGAT,8426,2,0,84,175,423,118,0,12407,1327,2039,284,1,27,3,155,5913,4,0,333,140,13,1097,1,16449,0,2,0,12916,9,0,1118,6,439,88,5857,15,17,1,41,66,127,0,447,690,33,314,2403,17,118,28,11,17,23,5,2,15,68,8262,173,222,4169,23,120,2024,8378,46,65,12,774,1755,1755,168,3,30568,134,8,2928,153,165,4571,1,23,108,15278,81,58,70,89,2415,11927,19,166,117,10,39,23,47,2738,9
108-7316-3308_1,LGAT,4940,4,0,67,180,213,83,0,8441,915,1315,237,9,23,6,147,3574,4,0,675,157,18,1020,1,13493,0,3,0,5632,12,2,1203,3,380,56,3535,21,16,1,32,76,101,0,221,317,22,183,1620,32,104,12,4,11,12,14,2,24,73,5329,96,224,2430,19,77,1288,5790,78,93,15,545,2007,1258,182,4,23518,66,27,1972,85,86,2951,0,11,55,9188,38,40,68,50,1643,10353,18,355,133,7,59,25,33,1704,8
108-7316-3062_1,LGAT,7524,2,0,172,77,444,86,1,13690,1012,1222,354,10,42,3,831,5170,4,0,287,180,12,1418,0,15144,0,1,3,11924,13,2,1509,20,443,39,4724,9,18,0,45,41,120,0,256,498,41,233,1689,23,98,21,4,5,8,4,5,4,101,6689,201,188,5927,23,138,1848,6202,114,42,22,1406,2432,1327,98,8,32590,97,29,2727,121,107,4571,0,21,103,13646,51,53,81,127,2139,12082,28,160,158,6,48,26,53,2464,9
108-7316-2899_1,LGAT,9786,7,0,81,16,230,18,19,2283,2187,3066,259,33,47,4,655,7047,1852,883,103,332,0,1156,9,18413,13,113,102,1426,17,22,3976,712,511,77,8762,29,14,0,164,3065,162,163,5321,705,21,553,3987,24,84,2,7,10,118,254,2,31,78,13431,244,119,19,57,182,3237,9205,334,843,4050,898,2141,1361,123,3,15970,164,23,6877,240,152,9195,1,3,121,18986,73,117,15,296,5643,11214,4,29,54,4,33,4,9,7138,27
108-7316-2664_1,LGAT,8188,5,0,49,18,602,39,1,2097,1098,1561,1130,18,22,3,186,3776,131,10,391,150,4,2795,1,16566,0,31,47,13072,10,2,768,72,655,174,4475,20,29,3,32,1894,357,3,377,482,35,188,1895,39,159,20,3,11,12,231,6,48,82,8499,100,45,626,15,103,2396,11683,344,588,393,343,5906,928,91,9,22280,254,13,3086,130,113,4599,16,23,132,15151,56,83,23,83,1813,9460,5,632,362,9,118,5,18,1831,12
108-7316-1851_1,LGAT,10325,3,0,111,93,261,111,1,13825,1526,2141,178,6,43,2,132,12172,7,3,341,336,10,894,1,14059,0,16,15,15612,16,0,2159,15,747,74,10141,33,21,4,28,310,92,7,149,913,35,347,2704,27,101,25,13,11,9,26,1,36,98,8997,148,295,5303,35,145,2080,9337,137,130,346,1087,2020,2017,123,1,32969,238,58,2803,148,141,5603,0,21,59,19939,82,85,65,106,2808,12490,25,225,71,12,44,12,52,2531,11
108-7316-3555_1,LGAT,6972,3,0,167,208,322,144,0,10461,1075,1414,271,12,36,2,207,4833,3,2,258,165,16,1304,0,12967,0,0,3,13093,16,2,1355,4,563,35,4707,17,10,0,45,67,112,0,325,577,29,275,1820,28,93,15,6,7,18,11,2,25,86,6567,115,219,5419,26,139,1680,7915,78,88,7,1166,1136,1601,159,4,26585,112,21,2244,117,112,3952,0,11,87,13033,49,32,70,72,1927,10497,18,325,134,6,32,11,34,1901,11
