Sample_ID,class,miR-135a-5p,miR-106b-5p,miR-93-3p,miR-205-5p,miR-93-5p,miR-200c-3p,miR-200a-3p,miR-19a-3p,miR-25-3p,miR-301b,miR-141-3p,miR-139-5p,miR-34c-5p,miR-34b-5p,miR-346,miR-217,miR-335-3p,miR-128-3p,miR-106b-3p,miR-210-3p,miR-873-5p,miR-216b-5p,miR-216a-5p,miR-4423-3p,miR-4423-5p
108-7316-409_1,HGAT,154,3980,103,1,3103,32,46,3543,4582,193,54,189,32,19,146,11,3,4289,241,1249,1,3,23,0,4
108-7316-1455_1,HGAT,51,3533,252,3,5661,221,11,432,6446,166,109,308,56,28,2,23,3,1280,303,1365,1,3,18,13,3
108-7316-466_1,HGAT,367,2615,95,0,2016,3,33,2555,1800,271,8,106,40,81,246,196,9,10913,194,241,5,26,610,0,0
108-7316-445_1,HGAT,1301,1623,80,4,1898,168,90,2751,2393,178,260,988,396,107,108,34,8,5622,108,340,26,20,113,22,15
108-7316-2140_1,HGAT,371,10926,365,1,9089,14,2,7190,15044,350,23,837,73,6,12,140,2,1187,579,1766,15,84,499,0,0
108-7316-895_1,HGAT,4653,3780,107,38,2076,16,1168,3143,5067,406,22,1368,58,45,106,1035,1,3436,201,217,35,1080,2208,9,1
108-7316-1769_1,HGAT,84,5573,165,1,4368,27,41,2234,4408,261,26,131,54,30,110,70,4,6134,347,4357,3,6,283,0,1
108-7316-114_1,HGAT,5,9083,252,1,9218,45,13,3556,9306,331,66,708,147,78,159,40,3,6798,399,1615,6,2,48,0,1
108-7316-1763_1,HGAT,957,4173,161,1,3388,9,58,3302,3936,344,16,1127,38,11,63,25,3,9202,237,266,70,8,32,0,0
108-7316-1746_1,HGAT,0,846,7535,2,856,150,62,33325,9755,2475,135,67,11,4,4,22,20,4303,1429,5771,33,0,8,6,0
112-7316-371_1,HGAT,22,22430,1110,8,35693,80,152,1997,23065,727,72,2449,168,24,340,34,4,13164,1881,15469,64,30,45,3,3
112-7316-942_1,HGAT,70,14222,512,26,14729,153,96,1185,20642,180,194,3632,347,45,377,71,14,14753,1399,25572,208,9,87,18,3
112-7316-2751_1,HGAT,306,10982,389,94,12090,53,502,1696,15651,1079,70,875,3879,548,232,45,10,6484,995,4834,49,36,77,91,11
112-7316-3303_1,HGAT,20,51871,1932,14,63883,109,300,2150,71389,1119,178,725,304,64,349,99,9,19150,3606,34207,15,2,258,4,1
112-7316-3769_1,HGAT,17,16283,937,5,33527,42,80,3359,18157,767,29,1457,222,37,707,10,4,125036,1451,2480,178,8,18,4,4
112-7316-24_1,HGAT,14,19539,744,18,35437,160,87,1359,20610,445,154,1013,328,61,401,43,19,8469,1717,1456,38,21,36,15,10
112-7316-339_1,HGAT,6,4403,158,4,10054,22,6,689,14464,4,12,120,19,0,16,11,12,697,555,3167,14,0,1,1,1
104-7316-70_1,LGAT,336,9683,354,18,8925,117,211,6654,9556,178,172,1456,422,160,583,20,7,88219,486,2172,35,6,8,49,33
108-7316-3575_1,LGAT,151,2671,100,1,2030,28,54,1669,2447,86,41,346,51,66,129,6,3,33598,126,435,10,1,6,19,5
108-7316-925_1,LGAT,147,1793,72,1,1572,18,18,1911,2079,78,15,311,24,40,139,9,3,13250,88,189,17,4,4,6,4
108-7316-1767_1,LGAT,7,4426,106,2,3571,20,52,2135,5041,57,38,985,86,74,114,24,50,19498,200,359,0,1,44,0,1
108-7316-193_1,LGAT,160,2617,91,3,2692,13,55,1861,2490,104,37,6441,488,192,178,6,7,36944,109,192,356,1,7,6,1
108-7316-77_1,LGAT,124,3417,159,1,2737,7,49,2246,2498,194,9,940,35,158,371,4,4,22964,186,133,1,0,3,6,2
108-7316-2663_1,LGAT,306,2793,123,5,2328,8,40,2671,2574,140,15,728,116,157,284,35,26,17309,156,180,1,47,86,16,8
108-7316-2669_1,LGAT,24,2335,113,10,2054,3,30,2443,2053,112,8,455,94,97,210,1,9,11699,115,251,0,1,1,0,1
108-7316-2723_1,LGAT,115,2128,86,2,2028,22,54,1536,2116,48,27,388,184,59,281,9,7,16840,113,369,73,1,7,1,1
108-7316-2755_1,LGAT,21,2943,138,4,2645,10,28,1811,2275,99,10,586,85,77,373,7,5,20048,162,200,1,0,1,2,1
108-7316-954_1,LGAT,236,4340,123,4,3687,7,22,3194,4532,75,36,771,102,64,245,1467,6,11980,154,217,5,1412,2855,10,4
108-7316-84_1,LGAT,189,3537,127,6,2898,47,43,2617,3531,77,67,369,59,36,175,15,4,33836,145,700,23,12,10,56,38
108-7316-442_1,LGAT,116,3977,127,10,3308,41,52,1513,3637,91,42,525,134,116,270,15,13,15045,196,311,0,0,22,12,6
108-7316-459_1,LGAT,40,1804,63,1,1709,9,27,1258,1667,37,12,330,83,82,194,9,4,5276,66,957,1,3,6,8,0
108-7316-391_1,LGAT,77,2816,94,3,2339,12,18,2681,2181,111,18,152,82,67,273,23,6,9708,97,1340,0,2,33,2,0
108-7316-944_1,LGAT,209,2989,74,4,2289,28,42,2083,2888,85,51,279,82,141,109,17,13,9439,125,177,1,0,49,5,5
108-7316-2154_1,LGAT,40,3225,111,4,2780,25,103,2322,3344,45,46,356,233,93,75,34,6,1880,129,204,2,3,57,9,0
108-7316-3065_1,LGAT,14,2524,79,0,2043,19,39,1809,2447,91,31,62,191,111,218,25,3,7296,106,160,0,2,42,0,0
108-7316-146_1,LGAT,14,3044,109,2,2599,24,30,2335,2723,95,34,314,140,144,278,17,2,7836,126,500,0,6,20,21,10
108-7316-3055_1,LGAT,12,2928,89,3,2415,17,15,2024,2738,108,17,447,66,65,222,6,1,12407,153,155,1,0,4,0,2
108-7316-3308_1,LGAT,15,1972,50,6,1643,11,24,1288,1704,55,16,221,76,93,224,3,9,8441,85,147,0,0,4,0,3
108-7316-3062_1,LGAT,22,2727,127,3,2139,5,4,1848,2464,103,18,256,41,42,188,20,10,13690,121,831,0,0,4,3,1
108-7316-2899_1,LGAT,4050,6877,296,4,5643,10,31,3237,7138,121,14,5321,3065,843,119,712,33,2283,240,655,1,883,1852,102,113
108-7316-2664_1,LGAT,393,3086,83,3,1813,11,48,2396,1831,132,29,377,1894,588,45,72,18,2097,130,186,16,10,131,47,31
108-7316-1851_1,LGAT,346,2803,106,2,2808,11,36,2080,2531,59,21,149,310,130,295,15,6,13825,148,132,0,3,7,15,16
108-7316-3555_1,LGAT,7,2244,72,2,1927,7,25,1680,1901,87,10,325,67,88,219,4,12,10461,117,207,0,2,3,3,0
108-7316-3556_1,LGAT,107,2462,127,1,2459,22,62,1637,2312,63,24,641,98,80,336,12,4,15166,120,324,25,2,8,4,0
108-7316-3561_1,LGAT,118,1733,63,2,1694,21,16,1052,1587,71,21,581,98,67,297,18,4,13979,70,189,7,7,16,2,3
108-7316-3566_1,LGAT,116,2853,127,3,2643,10,30,1450,2714,54,18,418,111,149,362,15,12,12351,160,127,0,9,23,4,0
108-7316-3570_1,LGAT,90,1937,83,7,1965,22,35,1400,1791,63,32,3277,910,287,95,30,6,25802,71,159,227,11,62,14,3
108-7316-891_1,LGAT,12,8800,268,1,8411,7,22,7722,8026,232,11,675,24,8,35,3558,5,22983,363,585,36,4581,8469,4,0
108-7316-344_1,LGAT,50,4578,117,3,3956,14,30,2237,4894,41,24,783,75,80,154,9,4,11327,253,216,1,0,3,1,0
108-7316-217_1,LGAT,87,2058,75,8,1722,19,86,1481,1847,131,26,4690,75,74,217,4,4,21983,103,330,222,0,10,34,38
108-7316-368_1,LGAT,59,5531,159,8,4616,22,51,4365,3973,228,29,914,87,96,344,49,13,23910,248,339,2,68,133,3,8
108-7316-898_1,LGAT,7,4232,103,7,3267,36,26,2693,3821,79,26,292,121,133,282,12,7,6439,165,1332,2,1,9,2,1
108-7316-20_1,LGAT,38,3081,109,2,2435,7,22,2605,2212,148,10,840,55,113,334,14,18,24180,169,218,2,3,4,1,2
108-7316-235_1,LGAT,25,3450,84,4,2471,20,29,3090,3138,127,26,431,55,70,70,6,6,2042,137,295,5,0,2,4,3
108-7316-162_1,LGAT,55,2358,56,2,1887,14,18,1179,2136,35,18,410,94,68,204,5,4,19100,100,311,7,0,7,4,3
108-7316-148_1,LGAT,270,2209,83,1,1884,49,27,1480,1873,94,61,1390,3048,748,213,9,4,27298,91,525,24,2,13,18,13
108-7316-168_1,LGAT,7,2691,87,1,1967,17,26,1732,2540,99,18,400,74,86,182,8,6,12781,112,571,2,0,3,1,2
108-7316-472_1,LGAT,206,3206,126,9,3100,12,42,2525,2921,118,24,681,43,110,350,7,16,13069,166,178,21,9,29,22,5
108-7316-175_1,LGAT,39,2536,133,23,2374,78,114,2585,2922,92,83,537,269,231,162,43,23,7624,137,417,26,41,26,32,37
108-7316-449_1,LGAT,136,2633,102,5,2507,27,118,2169,2607,67,49,471,105,73,138,10,4,15348,131,415,18,2,7,9,5
108-7316-495_1,LGAT,89,2299,85,5,1830,17,12,1815,1961,75,17,411,56,111,180,10,10,13636,103,153,2,2,5,7,2
108-7316-1845_1,LGAT,10,4822,140,3,4215,35,38,1861,3201,56,32,742,66,99,247,8,16,10193,218,1547,2,0,6,0,1
108-7316-222_1,LGAT,14,4359,143,4,3252,12,27,1854,3207,115,33,474,168,117,222,15,19,11302,226,1915,0,1,19,4,4
108-7316-332_1,LGAT,16,2884,99,6,2283,6,17,2184,2333,112,14,371,66,88,235,11,8,16228,167,249,0,1,5,2,2
108-7316-121_1,LGAT,9,2834,105,3,2522,6,40,2122,2223,86,9,421,122,126,260,6,11,12718,144,198,1,3,6,6,5
108-7316-957_1,LGAT,20,6140,226,8,4772,24,65,4503,5804,160,40,983,163,233,399,15,17,21808,290,2739,0,1,14,13,12
108-7316-499_1,LGAT,67,3057,66,6,2008,24,20,1978,2850,68,30,294,121,187,147,8,18,5239,157,172,2,0,6,29,15
108-7316-345_1,LGAT,12,3892,139,9,2956,15,26,2634,2762,135,16,865,178,107,402,9,10,24764,189,166,1,1,2,0,2
108-7316-932_1,LGAT,153,2516,73,0,2479,35,79,1869,2320,59,76,394,69,84,107,15,2,3950,87,150,8,1,15,17,15
108-7316-2172_1,LGAT,16,2788,97,10,2322,10,30,1953,1949,108,22,344,82,87,327,12,5,14127,125,169,2,5,1,4,8
108-7316-2184_1,LGAT,22,3932,128,8,3482,10,35,2581,3341,171,27,688,104,84,218,25,6,14998,177,215,1,8,28,4,1
