,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
61,104-7316-2648_1,Ependymoma,3,17,4,1535,7,419,5,80,1305,8965,126,1,1256,27,5525,383,25973,156,10647,45,3553,1794,9544,267,6,4528,23505,46994,7,4822,14578,27545,2,17,595,612,2610,1,46,1860,736,11,3888,130,37,66276,430,119,16214,635
62,104-7316-174_1,Ependymoma,0,1,64,160,212,23,3,14,441,6903,94,0,930,2,328,330,10056,15,1153,2,15,165,20,28,158,15,8347,121,190,1135,7506,14437,80,1,46,194,31,0,59,15,338,92,579,18,35,4180,144,17,7428,38
63,104-7316-455_1,Ependymoma,9,8,69,3364,166,82,4,28,1298,12498,108,12,7490,8,842,151,21560,51,8155,29,285,737,718,71,150,337,11841,3418,17,1024,11361,32463,6,8,127,1545,187,4,984,114,513,12,2588,49,282,15031,284,102,11882,108
64,104-7316-1784_1,Ependymoma,7,7,8,737,20,122,10,87,2331,14866,119,15,1985,22,2112,142,39906,24,10635,12,652,107,2077,46,14,776,21408,9101,22,774,20367,48857,22,14,443,1397,170,15,273,60,873,32,3100,10,348,53916,666,473,16212,495
65,104-7316-2156_1,Ependymoma,1,2,11,2544,34,222,28,27,2118,7330,178,9,1984,23,6584,2298,19887,128,4054,10,560,383,1534,60,27,770,18974,7483,3322,1259,14970,38339,1970,3,218,2886,637,45,133,274,616,1465,5135,43,1341,16549,635,225,22375,139
66,104-7316-1786_1,Ependymoma,0,6,63,686,225,86,7,20,511,6677,59,2,1059,15,1853,367,10412,50,7243,11,235,286,656,50,172,228,10791,2864,932,2965,9168,15705,68,0,148,257,244,0,308,75,409,522,959,36,22,15834,166,100,10069,121
67,112-7316-490_1,Ependymoma,11,6,32,2053,98,87,2,13,2528,23958,142,14,7481,7,6707,732,58001,163,12614,43,245,1862,349,66,89,155,24138,1100,26,1673,20680,62118,4,0,69,2072,703,0,480,414,895,33,6243,45,420,22837,615,896,20622,45
68,112-7316-2758_1,Ependymoma,6,5,31,2075,95,99,2,85,1232,8452,162,32,3889,24,3847,1617,28231,266,16921,36,2913,1041,9802,122,143,3773,11955,41750,60,2929,13458,23870,24,8,416,1578,988,0,311,907,579,41,4211,95,714,16609,426,1667,12207,345
69,112-7316-496_1,Ependymoma,35,20,437,6735,1194,225,7,73,2716,27834,513,512,32202,55,8260,844,75669,717,9064,95,3269,691,8486,131,1323,3579,43470,41222,35,3659,33119,76859,22,24,678,3402,1050,2,4588,492,1483,90,6923,87,460,52402,801,4329,30060,487
70,112-7316-88_1,Ependymoma,4,6,241,658,691,71,1,8,923,13818,160,11,952,2,453,1198,21883,121,6699,12,102,551,140,46,601,79,15345,627,241,1217,13709,29932,17,0,89,457,181,2,644,99,715,107,1301,38,81,9063,263,34,12262,70
