Sample_ID,class,miR-25-3p,miR-106b-3p,miR-217,miR-200c-3p,miR-4423-3p,miR-346,miR-4423-5p,miR-200a-3p,miR-106b-5p,miR-205-5p
112-7316-937_1,Medulloblastoma,18820,567,13593,6,5,17,5,14,18655,0
112-7316-304_1,Medulloblastoma,27083,933,26726,74,2,4,0,3,26661,1
112-7316-313_1,Medulloblastoma,63895,1734,11755,12,0,9,1,11,60728,1
112-7316-314_1,Medulloblastoma,23760,816,6350,8,3,13,2,3,21203,0
112-7316-3025_1,Medulloblastoma,43619,720,18610,2,2,18,8,66,41727,7
112-7316-2178_1,Medulloblastoma,68897,2398,14658,22,5,21,3,19,53067,2
112-7316-38_1,Medulloblastoma,37740,1045,8290,21,1,7,2,1,40647,0
112-7316-2155_1,Medulloblastoma,29073,756,18217,15,0,29,4,12,26808,35
112-7316-6_1,Medulloblastoma,64554,2142,25260,15,3,37,3,46,53076,1
112-7316-99_1,Medulloblastoma,24284,638,420,28,9,48,5,26,31958,20
112-7316-931_1,Medulloblastoma,123804,2244,17087,21,11,210,1,49,84680,8
112-7316-906_1,Medulloblastoma,35939,1587,17130,14,0,9,2,87,35686,3
112-7316-407_1,Medulloblastoma,20341,1018,5879,21,5,54,1,6,26776,1
112-7316-278_1,Medulloblastoma,91106,1961,21328,47,4,82,8,15,42881,5
112-7316-883_1,Medulloblastoma,31408,800,19551,32,2,17,5,3,33683,8
112-7316-2169_1,Medulloblastoma,29439,1037,4185,15,0,12,0,4,23672,0
112-7316-306_1,Medulloblastoma,45241,1990,5216,23,1,23,1,24,52130,21
112-7316-1772_1,Medulloblastoma,19870,1142,3878,67,30,855,17,303,19115,9
112-7316-2986_1,Medulloblastoma,56368,2364,17562,31,4,51,2,5,55162,12
112-7316-467_1,Medulloblastoma,44474,2234,4396,33,1,8,2,23,52469,9
